Remote sensing,Type,Water_pixels,Flow,Water_prop,Stage
3/23/2016,medium,17702,56300,0.832291128,31.22
2/22/2017,huge,20943,78500,1,37.83
5/13/2017,medium,15871,46339,0.746203395,27.72
5/29/2017,tiny,1998,29691,0.093939536,21.34
3/29/2018,tiny,2757,28458,0.129625276,20.83
4/14/2018,small,9781,36314,0.459871174,23.98
